titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
ALÉN;NATALIA IMERY ALMARIO;CRISTINA CADENA, NATALIA IMERY Y MARIA ANDREA DÍAZ;2014;ESPAÑOL;Colombia;ARCHIVOS  DIGITALES PRORESS LT;25 min;si;Natalia Imery Almario;•	54 Festival Internacional de Cine de Cartagena de Indias. Premio Mejor nuevo Creador. 13 -19 marzo (Colombia)  •	VI Festival de cine Universitario Intravenosa-Cali (Universidad Autónoma). Segundo puesto. Selección oficial cortometraje. 25 Abril (Colombi;"";"";"";Cortometraje
Found Footage: “Gamboa Films”;Paulo Pécora, Ernesto Baca, Alejandra Almirón, Mauricio Palacios Chaer, Alan Santamaría, Rafael Lacau, Belimar Román, Paola Michaels, Jeff Zorrilla ;Pablo José Enciso Morales;2014;Español;Argentina;ProRes LT;33 min;no;TV URBANO;Reconocimiento de Patrimonio Fílmico en Colombia por su conservación y restauración (31/10/2014);"";"";"";Cortometraje
Buenas Manos;Francisco Bendomir;Luis Montoya;2014;Español;Argentina;DCP o Apple ProRes LT/HQ;05 min;si;AltoToga;-;"";"";"";Cortometraje
Automatic itness;Alejandra Tomei & Alberto Couceiro;Animas-Film;2014;Automatic Fitness;Alemania;DCP;21 min;no;Animas-Film;no tiene aun;"";"";"";Cortometraje
Rumspringa;Uriel Bekerman;Lucas Ullua;2014;Alemán;Argentina;DCP;11 min;si;BeKfilms;"";"";"";"";Cortometraje
a porta;claudia nunes;luana otto;2014;portugues;Brasil;hdcam;22 min;si;rio bravo filmes;no;"";"";"";Cortometraje
Jasy Porä (Luna hermosa);Cecilia Sandoval y Pavel Tavares;Cecilia Sandoval;2014;español;Argentina;HD;26 min;no;Cecilia Sandoval;Mejor cortometraje regional;"";"";"";Cortometraje
(Marco);Aminatou Echard;son et image;2014;spanish;Francia;DCP;47 min;si;son et image;"";"";"";"";Cortometraje
Hasta el Dominó Siempre!;Tian Cartier, Rodrigo Pinto, Ricardo Arias, Sebastián Thomas;EICTV;2014;Español;Cuba;ProRess LT;10 min;si;Calma Cine;"";"";"";"";Cortometraje
Mapacho;Joan Manuel Sánchez;Gabriela Silvina miranda;2014;Español;Argentina;H264 - 29 fps;36 min;si;Producción independiente;"";"";"";"";Cortometraje
Deha Vani;David AYOUN;Le Fresnoy, Studio national des arts contemporains;2014;Gujarati;Francia;DCP (24fps);19 min;no;Le Fersnoy, Studio national des arts contemporains;"";"";"";"";Cortometraje
La oxitocina;Vadzim A;Vadzim Aheyeu;2014;Oxytocin;Bielorrusia;ProRes;8: min;no;Vadzim Aheyeu;"";"";"";"";Cortometraje
"\""Legado\""";Julian Dabien;Mariano Salazar;2014;Español;Argentina; .mov H264;5: min;si;Visturí Films;Ganador del Primer Premio del Concurso Imágenes del Bicentenario Salta;"";"";"";Cortometraje
BAJO;Ernesto Baca;Ernesto Baca;2014;español;Argentina;archivo digital;3  min;no;Kaumodaki films;Premio creacion artística., Super OFF 2014 Brasil;"";"";"";Cortometraje
Geru;Fábio Baldo, Tico Dias;Priscila Portella, Tico Dias;2014;Portuguese;Brasil;DCP;23 min;no;Filmes da Gruta, Filmes da Garoa;Best Actor and Best Sound in 47º Festival de Brasília do Cinema Brasileiro / Audience Award in 25º Festival Internacional de Curtas Metragens de São Paulo;"";"";"";Cortometraje
Branco mais Branco não há;Camila Vale;Camila Vale;2014;Português;Portugal;ProRes;08 min;si;Camila Vale;0;"";"";"";Cortometraje
RUHR RECORD;Rainer Komers;Rainer Komers, Kurt Otterbacher;2014;German;Alemania;DCP;45 min;no;kOMERS.film;--;"";"";"";Cortometraje
los niños y las niñas;Sara Fernández, Juan Carlos Sánchez;Sara Fernández, Juan Carlos Sánchez;2014;Español;Colombia;Archivo digital ProRes LT;30 min;no;Sara Fernández / Juan Carlos Sánchez;"";"";"";"";Cortometraje
Let there always be sunshine		;Sergiy Siliava;Elena Yakovitskaya, Elena Shutko;2014;russian;Ucrania;HD, DVD;17 min;si;Karpenko-Kariy Kyiv National University of theatre, cinema and television;no one;"";"";"";Cortometraje
It’s blame on the scriptwriter		/ Во всем виноват сценарист;Oleg Filipenko;Oleg Filipenko;2014;russian;Argentina;HD, DVD;11 min;si;Studio “Perpendicular movie”;no one;"";"";"";Cortometraje
Igor Shamo. Postlude;Julia Lazarevska;Svitlana Zinovyeva;2014;ukrainian, russian;Ucrania;HD, DVD;57 min;no;Inspiration Films;no;"";"";"";Cortometraje
Nueva Cámara;Renata Ag;Isabella Jacob;2014;Español;Chile;archivo digital ProRes LT;12 min;si;Víaveinte colectivo;"";"";"";"";Cortometraje
The Place;Julia Poplawska;Studio Munka;2015;Polish;Polonia;DCP (24 fps);15 min;no;Studio Munka;-;"";"";"";Cortometraje
Ahlem (dreams);Alessandra Pescetta;Giovanni Calcagno;2014;Italian / Arabic;Italia;DCP, ProRes, Bluray;18 min;no;La Casa de Santi;"";"";"";"";Cortometraje
Sigues aqui;cristina Ramiro Monroy, Franz Zavala;Cristina Ramiro Monroy;2013;Español;México;Bluray - Apple prores;14 min;si;La Ñora Distribuye;ninguno;"";"";"";Cortometraje
En crítica;Luz Orlando Brennan;Daniel Werner, Clarisa Olvieri, Luz Orlando Brennan;2014;Español;Argentina;DCP, archivos digitales, DVD;16 min;si;Incaa - WERNER Cine - CLARISA Oliveri;http://www.agenciafreak.com/cortometraje/EN-CRITICA/535;"";"";"";Cortometraje
Meathead;Kyle Heller;Karl Schirnhofer;2014;English;Alemania;ProRes LT files  ;8m min;si;XX;N/A;"";"";"";Cortometraje
Mr. Fogg;Joe Dixon;Marcus Autelli, Joe Dixon.;2014;Ingles;Reino Unido;Archivos digitales PRORES LT (Alexa);17 min;si;Dixon/Autelli;-;"";"";"";Cortometraje
A vida do fósforo não é bolinho, gatinho;Sergio Silva;João Marcos de Almeida/Max Eluard;2014;Portugues;Brasil;DCP;29 min;no;Filmes do Caixote/Avoa Filmes;"";"";"";"";Cortometraje
Meio-Campo;Pedro Amorim;Pandora da Cunha Telles, Pablo Iraola;2014;Portuguese;Portugal;DCP, BluRay, ProREs;6m min;no;Ukbar Filmes;"";"";"";"";Cortometraje
Sara e a Sua Mãe;Teresa Villaverde;Pandora da Cunha Telles and Pablo Iraola;2014;Portuguese;Portugal;ProRes, DVD;11 min;no;Ukbar Filmes;"";"";"";"";Cortometraje
Wallenhorst;Steffen Goldkamp;Steffen Goldkamp, Alexander Eckert;2014;german;Alemania;DCP, ProRes file;25 min;no;Spengemann Eichberg Goldkamp Hans;"";"";"";"";Cortometraje
Abuela;Leandro de Carvalho;Florencia Palombo;2014;Español;Argentina;ProRes 4222;11 min;si;Napa Films;"";"";"";"";Cortometraje
Tarde de Maio;Calebe Lopes y Alan Roger;Sergio Avillez y Zoé Avillez;2014;portugués;Brasil;DIGITAL;28 min;si;Mostarda Films;"";"";"";"";Cortometraje
Amor Compulsivo;Felipe Ballin, Andrei de Lima;Fernando Gimenez;2014;Português ;Brasil;Arquivo Digital H264;11 min;si;UTP;"";"";"";"";Cortometraje
Casa de Piedra;Luciano Garabello;Azúcar para el Caballo FILMS;2014;Español;Argentina;Digital Full HD;13 min;no;Azúcar para el Caballo FILMS;-;"";"";"";Cortometraje
Texto Simples;Francisco Franco e Josimar Freire;Carolina Mendes;2014;Português;Brasil;HDCam;00 min;si;Inhamis Filmes;Inedito;"";"";"";Cortometraje
O RELÂMPAGO E A FEBRE;Gilson Vargas;Gilson Vargas;2014;Português;Brasil;35mm, DCP, archivos digitales;10 min;no;Pata Negra;"";"";"";"";Cortometraje
DOMINGO DE MARTA;Gabriela Bervian;Gilson Vargas;2014;Português;Brasil;DCP, archivos digitales;23 min;no;Pata Negra;"Melhor Filme; Melhor Direção; Melhor Roteiro; Melhor Fotografia; Melhor Montagem; Melhor Edição de Som - 42º Festival de Cinema de Gramado, Melhor Filme; Melhor Atriz; Melhor FotografiaII Festival Diálogo de Cinema";"";"";"";Cortometraje
O segredo de Franchaise;Eduardo Zunza;Eduardo Zunza;2013;no;Brasil;ProRes HQ;16 min;no;V. Produção Audiovisual;"";"";"";"";Cortometraje
#73;Rekesh Shahbaz;Rajab Ahmed;2015;kurdish;Iraq;HD;31 min;si;Directorate of Cinema – Duhok ;"";"";"";"";Cortometraje
Vailamideus;Ticiana Augusto Lima;Vailamideus;2014;português;Brasil;HDCAM;8  min;no;Tardo Filmes;"Melhor Filme Mundano - Cachaça Cinema Clube em 25º Festival Internacional de Curtas de São Paulo; Melhor curta metragem VI Semana dos Realizadores pela ABD RJ ";"";"";"";Cortometraje
Missione Grado;Carlo Christian Spano;Carlo Christian Spano, Francesco Fedele;2014;Italian;Italia;HD;83 min;no;Netlords.it;"";"";"";"";Largometraje
LOS JETAS, la revolución es interior;Emilio Romero;INVERCINE;2014;castellano;Chile;DCP 24 fps;83 min;no;INVERCINE PRODUCCIONES LIMITADA;no;"";"";"";Largometraje
TESAPE\ARÃ;Susana Arbizu y Henri Belin;La Chambre Noire;2014;castellano y guarani;Francia;ProRes LT o DCP;70 min;si;La chambre noire;"";"";"";"";Largometraje
S 5 do 7;Shchegolkov Vladimir;Andrey Feofanov;2014;Russian;Rusia;Video (5К, anamorphic, RED epik)  ;10 min;si;Amalgama Studio;no;"";"";"";Largometraje
A Misteriosa Morte de Pérola;Guto Parente;Ticiana Augusto Lima;2014;Frances e Português;Brasil;DCP;62 min;no;Tardo Filmes;Best Feature Film - Critics Award;"";"";"";Largometraje
O Signo das Tetas;Frederico Machado;Mauricio Escobar;2015;Portuguese;Brasil;DCP;73 min;no;Lume Filmes;Not screened yet;"";"";"";Largometraje
Movimientos espectaculares;Mateo Hinojosa;Belimar Román;2014;Español, Aymara;Bolivia;archivo digital ProRes LT;80 min;si;Woven Path;"";"";"";"";Largometraje
Ciudadano Piria;Gustavo Leonel Mendoza;Gustavo Leonel Mendoza;2014;Español;Argentina;ProRes;98 min;no;Bizarre Man Films;"";"";"";"";Largometraje
EYE AM;Arsalan Baraheni;Arsalan Baraheni;2014;English;Canadá;DCP or BETACAM;73 min;si;Minima FIlms;"";"";"";"";Largometraje
EXilic Trilogy;Arsalan Baraheni;Arsalan Baraheni;2014;Farsi;Canadá;DCP/HD CAM;73 min;si;Minima FIlms;"";"";"";"";Largometraje
Tres mujeres guerreras;Alexander Preuss & Cletus Gregor Barié ;Preuss Filmproduktion Berlin 2014 ;2014;Español  (Subtitulos en alemán e ingles);Alemania;HD Estéreo, (versiones en blue ray y DVD);55 min;no;Preuss Filmproduktion Berlin 2014 ;"";"";"";"";Largometraje
La Primera Sonrisa;Guadalupe Sánchez Sosa;Eamon O\Farrill, Guadalupe Sánchez Sosa, Mónica Lozano;2014;Español, Inglés, Portugués;México;DCP;82 min;no;Monstro Films;"";"";"";"";Largometraje
Olmo and The Seagull;Petra Costa y Lea Glob;Zentropa, O Som e a Furia, Busca Vida Filmes;2014;francés;Dinamarca;DCP;83 min;no;Busca Vida Filmes;Nordic:DOX Award;"";"";"";Largometraje
O Touro;Larissa Figueiredo;Rafael Urban;2015;Portugues;Brasil;DCP;78 min;no;Tu i Tam Filmes ;"";"";"";"";Largometraje
Um Salve Doutor;Rodrigo Sousa & Sousa;Luísa Valente, Samantha Montes e Nayana Ferreira;2014;Português;Brasil;archivos digitales (.mov H24) o ProRes;90 min;si;Mundo em Foco;Programa VAI 2013 (Guion)  7º Prêmio Criando Asas 2013 (Guion)  2º Festival de Cinema da Zona Leste 2014 (Mejor Fotografia);"";"";"";Largometraje
Mount Lawrence ;Chandler Wild ;Scott DelaCruz ;2013-2014;English;Estados Unidos;DCP;98 min;si;All The Way Around;"";"";"";"";Largometraje
NO ME CONTÉIS ENTRE VOSOTROS;Isidro Sánchez;Isidro Sánchez y Alfonso Camacho;diciembre, 2014;español;España;HDCAM;1  min;si;Isidro Sánchez;"";"";"";"";Largometraje
MARIPOSAS NEGRAS;LORENA RIPOSATI;NICOLAS DI GIUSTO;2015;ESPAÑOL;Argentina;BETACAM DIGITAL;83 min;si;LORENA RIPOSATI;NINGUNO;"";"";"";Largometraje
My Talk With Florence;Paul Poet;Paul Poet;2014/15 (Final Mastering will be finished Mid-January);German;Argentina;DCP;12 min;si;Paul Poet;"";"";"";"";Largometraje
PRESAGIO;Matías Salinas;Matías Salinas;2015;Español;Argentina;Archivo digital.;86 min;si;Undae Films;La película aún está en postproducción pero fue seleccionada para el Blood Window FFIP (Fantastic Films in Progress) en Ventana Sur 2014. No tuvo proyección pública, solo estuvo disponible en Video Librería para programadores de festivales.;"";"";"";Largometraje
Perez.;Edoardo De Angelis;Edoardo De Angelis, Pierpaolo Verga, Attilio De Razza, Luca Zingaretti;2014;Italian;Argentina;DCP;95 min;si;Intramovies srl;"";"";"";"";Largometraje
Bolishopping;Pablo Stigliani;Pablo Stigliani y Mariano Mouriño ;2014;Español ;Argentina;DCP ;88 min;no;3c Films Group ;Ganador del concurso Peliculas Digitales INCAA;"";"";"";Largometraje
Paula;Eugenio Canevari;Felipe Yaryura;2014;Castellano;Argentina;DCP;70 min;si;Mamá Húngara Cine;"";"";"";"";Largometraje
All The Time In The World;Suzanne Crocker;Suzanne Crocker;2014;English;Argentina;DCP, ProRes;87 min;no;Drift Productions Inc.;Most Popular Canadian Documentary – Audience Choice Award – Vancouver  International Film Festival  Green Screen Award – Planet In Focus Film Festival - Toronto;"";"";"";Largometraje
The Backward Class;Madeleine Grant;Jessica Cheung & Madeleine Grant;201;English, Tamil;Argentina;DCP (24 fps);91 min;si;Affinity Film Inc.;2014 Audience Award - Hot Docs Int\l Canadian Film Festival, 2014 Can-Am Grand Prix of Cinema Award - Windsor Int\l Film Festival, 2014 World Documentary Award - Whistler Film Festival;"";"";"";Largometraje
Sammerhead;Dan Zukovic;Jeremy Duson, Brendan Keown, Mitch Mayer;2014;English;Argentina;DCP, Blu-Ray;10 min;no;Third Tribe Prods.;Nominated for the Prix des Ameriques;"";"";"";Largometraje
PAJAROS NEGROS;Fercks Castellani;Néstor Sánchez Sotelo;2014;Español;Argentina;DCP;75 min;si;DEL TORO FILMS;"";"";"";"";Largometraje
Remake, Remix, Rip-Off;Cem Kaya;Jochen Laube;2014;Remake, Remix, Rip-Off;Argentina;DCP;96 min;no;UFA Fiction GmbH, Jochen Laube;"";"";"";"";Largometraje
Hyperion;Maria Giovanna Cicciari;Maria Giovanna Cicciari;2014;Italiano;Argentina;dcp;39 min;no;Productor;"";"";"";"";Largometraje
65 HORAS EN EL VACIO;Barbara Alhadeff y Silvina Di Laudo;Barbara Alhadeff y Silvina Di Laudo;2014;Castellano;Argentina;Archivos digitales Pro Res LT;68 min;si;Valkiria Productora;"";"";"";"";Largometraje
Amasekenalo;Paulo Pécora;Pablo César;2014;Español;Argentina;Archivos digitales ProRes LT;60 min;si;Ríoabajo;no;"";"";"";Largometraje
La vida después;Pablo Bardauil y Franco Verdoia;CEPA Audiovisual - Felicitas Raffo y Andrés Longares;2014;Español;Argentina;DCP;1h min;si;Pablo;No;"";"";"";Largometraje
Tranquilandia, Colombia;Joel Stangle;Carolina Campos;2014;Español;Argentina;ProRes;56 min;no;Carolina Campos;"";"";"";"";Largometraje
行者 The Walkers;Singing CHEN; Singing CHEN, LIN Leh-chyun;2014;Mandarin;Argentina;DCP;14 min;no;Ablaze Image Ltd. (Sales Agent);2014 Taiwan International Documentary Festival- Audience Choice Award;"";"";"";Largometraje
光陰的故事- 台灣新電影 Flowers of Taipei - Taiwan New Cinema;Chinlin Hsieh;Angelika Wang Ken-Yu;2014;Thai, French, English, Italian, Japanese, Chinese;Argentina;DCP;10 min;no;ABLAZE IMAGE Ltd. ;"";"";"";"";Largometraje
ADAGIO;RAFAEL ESCOLAR;RAFAEL ESCOLAR;2014;ESPAÑOL;Argentina;PRORE 422 / DCP 24 fps;87 min;no;BASERRIFILMS;"";"";"";"";Largometraje
Un hombre que no supo a donde ir;Gabriel Zaragoza;Gabriel Zaragoza;2014;Espanol;Argentina;DCP;63 min;si;ESTO NO EXISTE CINE;"";"";"";"";Largometraje
El trotskismo bárbaro;Marcel Gonnet Wainmayer;Marcel Gonnet Wainmayer;2015;Castellano, portugués e italiano;Argentina;Archivo ProRes;10 min;si;Cinema do Polvo;-;"";"";"";Largometraje
Para no dejar de jugar;Victoria Potenzoni;Victoria Potenzoni;2014;castellano;Argentina;archivos digitales ProRes LT;14 min;si;Victoria Potenzoni;"";"";"";"";Largometraje
Y;Marina Papic;Marina Papic;2014;Serbian;Argentina;DCP;15 min;si;Atomic Kitchen;not yet;"";"";"";Largometraje
MUDMEN;Martin Farina;Martin Farina;201;ESPAÑOL;Argentina;Archivo Digital Pro Res Full HD 1920 x 1080;72 min;si;Cinemilagroso;Ninguno;"";"";"";Largometraje
MADRES DE LOS DIOSES;PABLO AGÜERO;MATIAS TAMBORENEA;2015;ESPAÑOL - MAPUCHE;Argentina;DCP;84 min;si;GORA FILMS;no tiene premios todavia;"";"";"";Largometraje
Atrapado en libertad;Marcos Garces/ Matias Vullo;Marcos Garces;2014;español;Argentina;HD ;45 min;si;La Pasteria;Ninguno;"";"";"";Largometraje
VALDENSES;Marcel Gonnet Wainmayer;Tomás Lipgot;2015;Español-Italiano-Inglés- Patois;Argentina;ARCHIVO DIGITAL PRO-RES;80 min;si;tomas.lipgot@duermevela.com.ar;_;"";"";"";Largometraje
Los Días Iguales;Aldo Marchiaro;Natalia Zamar;2014;Castellano;Argentina;dcp;76 min;no;Aldo Marchiaro;-;"";"";"";Largometraje
Después de Sarmiento;Francisco Márquez;Francisco Márquez;2014;Español;Argentina;DCP;\7 min;si;Pensar con las Manos;"";"";"";"";Largometraje
VERGUENZA Y RESPETO;Tomás Lipgot;Duermevela;2015;Español;Argentina;ARCHIVO DIGITAL PRO-RES;75 min;si;Duermvelea;_;"";"";"";Largometraje
Callcenter;Sergio Estilarte / Federico Velasco;Pamela Gionco;2014;español;Argentina;ProRes;92 min;si;Onomatopeya;"";"";"";"";Largometraje
Gran Chaco;Lucas van Esso;Miguel van Esso;2014;Español;Argentina;DCP, archivos digitales ProRes;70 min;no;ShortsFit Distribución;"";"";"";"";Largometraje
La última película de Minella Borova;Lucrecia Oviedo;Eduardo Misch / Lucrecia Oviedo;2014;español/ Albanés;Argentina;Archivo digital ProRes LT;1: min;si;PEPITA cine;"";"";"";"";Largometraje
La Ultima Palabra;Juan Pablo Tobal Claria;Jose Luis Tobal Cabrera;2015;Español;Argentina;ProRes LT;75 min;si;Atrox, FCA de Imágenes;tiene premio TENK para post produccion y tutorias internacionales (TRIBECA) fondos INCAA, Ministerio de Cultura de Colombia, Premio a la promocion del patrimonio inmaterial FUCLA;"";"";"";Largometraje
Yo se lo que Envenena;Federico Sosa;Julieta Arevalo;2014;Español;Argentina;DCP;84 min;no;Julieta Arévalo;Mención de Honor Categoria WIP 28º Festival de Mar del Plata;"";"";"";Largometraje
Los itinerarios de la mujer pez;Maria Berns;Rafael Santamaría ;2015;Castellano;Argentina;Blue Ray;91 min;si;Muñeca Rota Films;"";"";"";"";Largometraje
La Tierra en el Medio;Natalia Trzcina;Mónica Pérez;2014;Español;Argentina;DCP;86 min;si;La Bola Films;"";"";"";"";Largometraje
Miramar;Fernando Sarquís;Marcelo Romero - Fernando Sarquís - Sofía Castells;2015;Español;Argentina;archivos digitales ProRes LT /  DCP;69 min;si;Diez Elefantes ;"Work in Progress: 1º Mención 28º Festival Internacional de Cine de Mar del Plata; Work in Progress: Premio Estímulo del Gobierno de Córdoba";"";"";"";Largometraje
WINTERGAST (Winterguest);Andy Herzog, Matthias Günter;Andy Herzog, Matthias Günter;2014;Swiss German, German, English;Argentina;DCP;83 min;no;Matthias Guenter-Film-Production;N.N.;"";"";"";Largometraje
SILO;LEANDRO BARTOLETTI;MATIAS PAYER;2014;ESPAÑOL;Argentina;DCP;98 min;si;300FILMS - ASOPRODIGITAL;"";"";"";"";Largometraje
Roxi tenía Razón;Brenda Greco, Mariana Livieri;Laura Martinez Corfield;2014;Español;Argentina;ProRes LT;74 min;si;Alodolan;"";"";"";"";Largometraje
2+2;Thomas Ciulei;Thomas Ciulei;2014;Romanian;Argentina;DCP;97 min;si;Europolis Film;"";"";"";"";Largometraje
Victoria;Juan Villegas;Juan Villegas;2015;Español;Argentina;DCP (24fps);75 min;si;Tresmilmundos Cine;"";"";"";"";Largometraje
Jardin de sueños ;Javier Tanoira y Alejo Yael;Javier Tanoira, Matias Reynal ;2013-2014;Español;Argentina;ProRes;76 min;no;Yaeltex;no;"";"";"";Largometraje
AGARRESE COMO PUEDA. qué dicen los cuerpos al volar;colectivo luzmorenaCine y los Gatos Refugiados: Nicolas Bratosevich, Javier Romero,  Claudio Celada;colectivo luzmorenaCine y los Gatos Refugiados: Nicolas Bratosevich, Javier Romero,  Claudio Celada;2015;Español;Argentina;BETACAM DIGITAL;10 min;si;luzmorenaCine y los Gatos Refugiados;-;"";"";"";Largometraje
Los fantasmas de Losada;Gonzalo Murúa Losada;Gonzalo Murúa Losada ;2013;Español;Argentina;archivo digital: ProRes HQ;90 min;si;Gonzalo Murúa Losada;"";"";"";"";Largometraje
EL ROBO;CARLOS ASSEPH;CARLOS ASSEPH;2015;ESPAÑOL;Argentina;BETACAM DIGITAL;81 min;si;CARLOS ASSEPH;"";"";"";"";Largometraje
Nosotras / Ellas;Julia Pesce;Juan C. Maristany;2014;Español;Argentina;DCP;62 min;si;Cine El Calefón;----;"";"";"";Largometraje
David & Me;Ray Klonsky & Marc Lamy;Aaron Hancox;2014;English;Argentina;Blu-ray;69 min;no;Cargo Film & Releasing;"";"";"";"";Largometraje
Kung Fu Elliot;Matthew Bauckman and Jaret Belliveau;David Eberts;2014;English;Argentina;HDCam;85 min;no;Cargo Film & Releasing;"";"";"";"";Largometraje
Alumbrones;Bruce Donnelly;Paul Adorni;2014;English;Argentina;blu-ray;75 min;si;Cargo Film & Releasing;"";"";"";"";Largometraje
Transcend;Michael Del Monte and Tad Munnings;Scott Montgomery;2014;English;Argentina;blu-ray;74 min;si;Cargo Film & Releasing;"";"";"";"";Largometraje
Opposite Field;Jay Shapiro;Nick Goldfarb;2014;English;Argentina;blu-ray;73 min;no;Cargo Film & Releasing;"";"";"";"";Largometraje
VIAJE AL CENTRO DE LA PRODUCCION;ARIEL BORENSTEIN-DAMIAN FINVARB;ARIEL BORENSTEIN-DAMIAN FINVARB;2014;CASTELLANO;Argentina;ARCHIVO DIGITAL DNXHD;86 min;no;UN FANTASMA CINE;NO SE PRESENTO EN FESTIVALES;"";"";"";Largometraje
